t_s,gx,gz,imu_rpm,wheel_rpm,error,duty,state
0.050,0.0000,0.0000,0.000,0.000,0.000,-0.000,HOLD
0.103,0.0000,-0.0020,0.013,0.000,-0.013,-0.000,HOLD
0.155,0.0020,0.0000,0.013,0.000,-0.013,-0.000,HOLD
0.207,0.0000,-0.0020,0.013,0.000,-0.013,-0.000,HOLD
0.258,0.0039,0.0020,0.013,0.000,-0.013,-0.000,HOLD
0.311,0.0020,0.0000,0.013,0.000,-0.013,-0.000,HOLD
0.363,0.0020,0.0000,0.013,0.000,-0.013,-0.000,HOLD
0.415,0.0000,0.0000,0.000,0.000,0.000,-0.000,HOLD
0.467,0.0020,0.0020,0.000,0.000,0.000,-0.000,HOLD
0.518,0.0039,0.0020,0.013,0.000,-0.013,-0.000,HOLD
0.571,0.0020,0.0000,0.013,0.000,-0.013,-0.000,HOLD
0.623,-0.0020,0.0020,-0.026,0.000,0.026,-0.000,HOLD
0.675,0.0078,0.0000,0.053,0.000,-0.053,-0.000,HOLD
0.727,0.0039,0.0020,0.013,0.000,-0.013,-0.000,HOLD
0.778,0.0000,-0.0020,0.013,0.000,-0.013,-0.000,HOLD
0.830,-0.0059,0.0039,-0.066,0.000,0.066,-0.000,HOLD
0.882,0.0020,0.0000,0.013,0.000,-0.013,-0.000,HOLD
0.935,0.0078,0.0000,0.053,0.000,-0.053,-0.000,HOLD
0.987,-0.0039,0.0000,-0.026,0.000,0.026,-0.000,HOLD
1.039,0.0039,0.0020,0.013,0.000,-0.013,-0.000,HOLD
1.092,-0.0020,0.0000,-0.013,0.000,0.013,-0.000,HOLD
1.145,0.0000,-0.0039,0.026,0.000,-0.026,-0.000,HOLD
1.197,-0.0020,-0.0020,0.000,0.000,0.000,-0.000,HOLD
1.250,0.0000,-0.0020,0.013,0.000,-0.013,-0.000,HOLD
1.303,0.0020,0.0039,-0.013,0.000,0.013,-0.000,HOLD
1.356,0.0020,0.0000,0.013,0.000,-0.013,-0.000,HOLD
1.407,-0.0020,-0.0039,0.013,0.000,-0.013,-0.000,HOLD
1.460,0.0020,0.0000,0.013,0.000,-0.013,-0.000,HOLD
1.514,0.0000,0.0000,0.000,0.000,0.000,-0.000,HOLD
1.566,0.0039,0.0000,0.026,0.000,-0.026,-0.000,HOLD
1.618,0.0020,0.0020,0.000,0.000,0.000,-0.000,HOLD
1.671,-0.0020,-0.0020,0.000,0.000,0.000,-0.000,HOLD
