t_s,centroid_x,error,duty,state
0.006,253,-0.2094,-4.19,TRACKING
0.059,252,-0.2125,-4.31,TRACKING
0.112,251,-0.2156,-4.37,TRACKING
0.165,252,-0.2125,-4.19,TRACKING
0.218,255,-0.2031,-3.89,TRACKING
0.271,253,-0.2094,-4.31,TRACKING
0.324,254,-0.2062,-4.07,TRACKING
0.376,254,-0.2062,-4.12,TRACKING
0.429,255,-0.2031,-4.00,TRACKING
0.482,256,-0.2000,-3.94,TRACKING
0.536,257,-0.1969,-3.88,TRACKING
0.588,273,-0.1469,-1.99,TRACKING
0.641,281,-0.1219,-1.96,TRACKING
0.694,281,-0.1219,-2.44,TRACKING
0.747,282,-0.1187,-2.32,TRACKING
0.800,284,-0.1125,-2.13,TRACKING
0.853,294,-0.0813,-1.03,TRACKING
0.906,306,-0.0437,-0.17,TRACKING
0.959,326,0.0187,0.00,CENTERED
1.012,345,0.0781,2.69,TRACKING
1.064,357,0.1156,3.02,TRACKING
1.117,375,0.1719,4.50,TRACKING
1.170,388,0.2125,5.02,TRACKING
1.223,404,0.2625,6.20,TRACKING
1.276,421,0.3156,7.31,TRACKING
1.329,443,0.3844,8.98,TRACKING
1.382,464,0.4500,10.24,TRACKING
1.434,471,0.4719,9.85,TRACKING
1.487,460,0.4375,8.10,TRACKING
1.540,444,0.3875,6.81,TRACKING
1.593,439,0.3719,7.14,TRACKING
1.646,445,0.3906,8.16,TRACKING
1.699,470,0.4688,10.85,TRACKING
1.752,482,0.5062,10.83,TRACKING
1.805,481,0.5031,10.00,TRACKING
1.858,463,0.4469,7.87,TRACKING
1.911,449,0.4031,7.23,TRACKING
1.963,444,0.3875,7.45,TRACKING
2.016,439,0.3719,7.14,TRACKING
2.069,444,0.3875,8.05,TRACKING
2.122,457,0.4281,9.33,TRACKING
2.175,477,0.4906,10.99,TRACKING
2.228,493,0.5406,11.76,TRACKING
2.281,508,0.5875,12.64,TRACKING
2.334,525,0.6406,13.81,TRACKING
2.388,529,0.6531,13.30,TRACKING
2.442,526,0.6438,12.70,TRACKING
2.496,461,0.4406,5.02,TRACKING
2.549,407,0.2719,2.29,TRACKING
2.603,349,0.0906,-1.55,TRACKING
2.657,325,0.0156,0.00,CENTERED
2.711,332,0.0375,1.16,TRACKING
2.764,383,0.1969,6.91,TRACKING
2.818,422,0.3187,8.65,TRACKING
2.872,449,0.4031,9.63,TRACKING
2.925,439,0.3719,6.85,TRACKING
2.979,400,0.2500,2.75,TRACKING
3.033,330,0.0312,-3.47,TRACKING
3.087,272,-0.1500,-6.36,TRACKING
3.140,241,-0.2469,-6.75,TRACKING
3.194,242,-0.2437,-4.82,TRACKING
3.247,239,-0.2531,-5.24,TRACKING
3.301,216,-0.3250,-7.84,TRACKING
3.355,183,-0.4281,-10.48,TRACKING
3.408,159,-0.5031,-11.46,TRACKING
3.462,165,-0.4844,-9.34,TRACKING
3.516,202,-0.3688,-5.22,TRACKING
3.569,268,-0.1625,0.59,TRACKING
3.623,315,-0.0156,0.00,CENTERED
3.677,320,0.0000,0.00,CENTERED
3.730,278,-0.1313,-5.08,TRACKING
3.784,215,-0.3281,-10.24,TRACKING
3.837,171,-0.4656,-11.88,TRACKING
